websiteSku,graceSku,family,capacityMl,color,neckThreadSize,category,applicator,assemblyType,productUrl
GBCrcl50AnSpBlk,GB-CIR-CLR-50ML-ASP-BLK,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrcl50AnSpGl,GB-CIR-CLR-50ML-ASP-GLD,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-gold-vintage-style-sprayer-shiny-gold-collar-cap
GBCrcl50AnSpIvyGl,GB-CIR-CLR-50ML-ASP-IVGD,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-gold-collar-cap
GBCrcl50AnSpIvySl,GB-CIR-CLR-50ML-ASP-IVSL,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrcl50AnSpLvn,GB-CIR-CLR-50ML-ASP-LVN,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-lavender-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrcl50AnSpMtSl,GB-CIR-CLR-50ML-ASP-MSLV,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-matte-silver-vintage-style-sprayer-matte-silver-collar-cap
GBCrcl50AnSpPnk,GB-CIR-CLR-50ML-ASP-PNK,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-pink-vintage-style-bulb-sprayer-shiny-gold-collar-cap
GBCrcl50AnSpRed,GB-CIR-CLR-50ML-ASP-RED,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-red-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrcl50AnSpTslBlk,GB-CIR-CLR-50ML-AST-BLK,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer with Tassel,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar
GBCrcl50AnSpTslGl,GB-CIR-CLR-50ML-AST-GLD,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer with Tassel,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-gold-vintage-style-sprayer-with-tassel-shiny-gold-collar
GBCrcl50AnSpTslIvyGl,GB-CIR-CLR-50ML-AST-IVGD,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer with Tassel,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-ivory-vintage-style-sprayer-with-tassel-shiny-gold-collar
GBCrcl50AnSpTslIvySl,GB-CIR-CLR-50ML-AST-IVSL,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer with Tassel,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-ivory-vintage-style-sprayer-with-tassel-shiny-silver-collar
GBCrcl50AnSpTslLvn,GB-CIR-CLR-50ML-AST-LVN,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer with Tassel,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-lavender-vintage-style-sprayer-with-tassel-shiny-silver-collar
GBCrcl50AnSpTslMtSl,GB-CIR-CLR-50ML-ASP-01,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-matte-silver-vintage-style-sprayer-with-tassel-matte-silver-collar
GBCrcl50AnSpTslPnk,GB-CIR-CLR-50ML-AST-PNK,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer with Tassel,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-pink-vintage-style-sprayer-with-tassel-shiny-gold-collar
GBCrcl50AnSpTslRed,GB-CIR-CLR-50ML-ASP-02,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-red-vintage-style-sprayer-with-tassel-shiny-silver-collar
GBCrcl50AnSpTslWht,GB-CIR-CLR-50ML-AST-WHT,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer with Tassel,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-white-vintage-style-sprayer-with-tassel-shiny-silver-collar
GBCrcl50AnSpWht,GB-CIR-CLR-50ML-ASP-WHT,Circle,50.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-white-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrcl50DrpCu,GB-CIR-CLR-50ML-DRP-CPR,Circle,50.0,Clear,18-415,Glass Bottle,Dropper,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-white-dropper-shiny-copper-collar-cap
GBCrcl50DrpGl,GB-CIR-CLR-50ML-DRP-GLD,Circle,50.0,Clear,18-415,Glass Bottle,Dropper,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-white-dropper-shiny-gold-collar-cap
GBCrcl50DrpSl,GB-CIR-CLR-50ML-DRP-SLV,Circle,50.0,Clear,18-415,Glass Bottle,Dropper,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-white-dropper-shiny-silver-collar-cap
GBCrcl50RdcrBlkLthr,GB-CIR-CLR-50ML-RDC-BKLT,Circle,50.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-reducer-black-faux-leather-cap
GBCrcl50RdcrBrwnLthr,GB-CIR-CLR-50ML-RDC-BRLT,Circle,50.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-reducer-brown-faux-leather-cap
GBCrcl50RdcrIvyLthr,GB-CIR-CLR-50ML-RDC-IVLT,Circle,50.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-reducer-ivory-faux-leather-cap
GBCrcl50RdcrLBrwnLthr,GB-CIR-CLR-50ML-RDC-LBLT,Circle,50.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-reducer-light-brown-faux-leather-cap
GBCrcl50RdcrMtSl,GB-CIR-CLR-50ML-RDC-MSLV,Circle,50.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-reducer-silver-matte-cap
GBCrcl50RdcrMtSlTall,GB-CIR-CLR-50ML-RDC-MSLV-T,Circle,50.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-reducer-tall-silver-matte-cap
GBCrcl50RdcrPnkLthr,GB-CIR-CLR-50ML-RDC-PKLT,Circle,50.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-reducer-pink-faux-leather-cap
GBCrcl50RdcrShnBlk,GB-CIR-CLR-50ML-RDC-SBLK,Circle,50.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-reducer-black-shiny-cap
GBCrcl50RdcrShnBlkTall,GB-CIR-CLR-50ML-RDC-SBLK-T,Circle,50.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-reducer-tall-black-shiny-cap
GBCrcl50RdcrShnGl,GB-CIR-CLR-50ML-RDC-SGLD,Circle,50.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-reducer-shiny-gold-cap
GBCrcl50RdcrShnSl,GB-CIR-CLR-50ML-RDC-SSLV,Circle,50.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-reducer-shiny-silver-cap
GBCrcl50RdcrWht,GB-CIR-CLR-50ML-RDC-WHT,Circle,50.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-reducer-white-cap
GBCrcl50SpryCu,GB-CIR-CLR-50ML-SPR-CPR,Circle,50.0,Clear,18-415,Glass Bottle,Perfume Spray Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-matte-copper-spray-and-cap
GBCrcl50SpryMtGl,GB-CIR-CLR-50ML-SPR-MGLD,Circle,50.0,Clear,18-415,Glass Bottle,Perfume Spray Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-matte-gold-spray-pump-and-cap
GBCrcl50SpryMtSl,GB-CIR-CLR-50ML-SPR-MSLV,Circle,50.0,Clear,18-415,Glass Bottle,Perfume Spray Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-matte-silver-spray-pump-and-cap
GBCrcl50SpryShnBlk,GB-CIR-CLR-50ML-SPR-SBLK,Circle,50.0,Clear,18-415,Glass Bottle,Perfume Spray Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-shiny-black-spray-pump-and-cap
GBCrcl50SpryShnGl,GB-CIR-CLR-50ML-SPR-SGLD,Circle,50.0,Clear,18-415,Glass Bottle,Perfume Spray Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-shiny-gold-spray-pump-and-cap
GBCrcl50SpryShnSl,GB-CIR-CLR-50ML-SPR-SSLV,Circle,50.0,Clear,18-415,Glass Bottle,Perfume Spray Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-shiny-silver-spray-and-cap
GBCrclFrst50AnSpBlk,GB-CIR-FRS-50ML-ASP-BLK,Circle,50.0,Frosted,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrclFrst50AnSpGl,GB-CIR-FRS-50ML-ASP-SGLD,Circle,50.0,Frosted,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-gold-vintage-style-sprayer-shiny-gold-collar-cap
GBCrclFrst50AnSpIvyGl,GB-CIR-FRS-50ML-ASP-IVGD,Circle,50.0,Frosted,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-gold-collar-cap
GBCrclFrst50AnSpIvySl,GB-CIR-FRS-50ML-ASP-IVSL,Circle,50.0,Frosted,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrclFrst50AnSpLvn,GB-CIR-FRS-50ML-ASP-LVN,Circle,50.0,Frosted,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-lavender-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrclFrst50AnSpMtSl,GB-CIR-FRS-50ML-ASP-MSLV,Circle,50.0,Frosted,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-matte-silver-vintage-style-sprayer-matte-silver-collar-cap
GBCrclFrst50AnSpPnk,GB-CIR-FRS-50ML-ASP-PNK,Circle,50.0,Frosted,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-pink-vintage-style-bulb-sprayer-shiny-gold-collar-cap
GBCrclFrst50AnSpRed,GB-CIR-FRS-50ML-ASP-RED,Circle,50.0,Frosted,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-red-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrclFrst50AnSpWht,GB-CIR-FRS-50ML-ASP-WHT,Circle,50.0,Frosted,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-white-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrclFrst50DrpCu,GB-CIR-FRS-50ML-DRP-CPR,Circle,50.0,Frosted,18-415,Glass Bottle,Dropper,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-white-dropper-shiny-copper-collar-cap
GBCrclFrst50DrpGl,GB-CIR-FRS-50ML-DRP-SGLD,Circle,50.0,Frosted,18-415,Glass Bottle,Dropper,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-white-dropper-shiny-gold-collar-cap
GBCrclFrst50DrpSl,GB-CIR-FRS-50ML-DRP-SLV,Circle,50.0,Frosted,18-415,Glass Bottle,Dropper,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-white-dropper-shiny-silver-collar-cap
GBCrclFrst50RdcrBlkLthr,GB-CIR-FRS-50ML-RDC-BLK,Circle,50.0,Frosted,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-reducer-black-faux-leather-cap
GBCrclFrst50RdcrBrwnLthr,GB-CIR-FRS-50ML-RDC-01,Circle,50.0,Frosted,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-reducer-brown-faux-leather-cap
GBCrclFrst50RdcrLBrwnLthr,GB-CIR-FRS-50ML-RDC-02,Circle,50.0,Frosted,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-reducer-light-brown-faux-leather-cap
GBCrclFrst50RdcrMtSl,GB-CIR-FRS-50ML-RDC-MSLV,Circle,50.0,Frosted,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-reducer-tall-silver-matte-cap
GBCrclFrst50RdcrPnkLthr,GB-CIR-FRS-50ML-RDC-PNK,Circle,50.0,Frosted,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-reducer-pink-faux-leather-cap
GBCrclFrst50RdcrShnBlk,GB-CIR-FRS-50ML-RDC-SBLK,Circle,50.0,Frosted,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-reducer-black-shiny-cap
GBCrclFrst50RdcrShnBlkTall,GB-CIR-FRS-50ML-RDC-SBLK-T,Circle,50.0,Frosted,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-reducer-tall-black-shiny-cap
GBCrclFrst50RdcrShnGl,GB-CIR-FRS-50ML-RDC-SGLD,Circle,50.0,Frosted,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-reducer-shiny-gold-cap
GBCrclFrst50RdcrShnSl,GB-CIR-FRS-50ML-RDC-SSLV,Circle,50.0,Frosted,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-reducer-shiny-silver-cap
GBCrclFrst50RdcrWht,GB-CIR-FRS-50ML-RDC-WHT,Circle,50.0,Frosted,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-reducer-white-cap
GBCrclFrst50SpryCu,GB-CIR-FRS-50ML-SPR-CPR,Circle,50.0,Frosted,18-415,Glass Bottle,Perfume Spray Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-matte-copper-spray-and-cap
GBCrclFrst50SpryMtGl,GB-CIR-FRS-50ML-SPR-MGLD,Circle,50.0,Frosted,18-415,Glass Bottle,Perfume Spray Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-matte-gold-spray-pump-and-cap
GBCrclFrst50SpryMtSl,GB-CIR-FRS-50ML-SPR-MSLV,Circle,50.0,Frosted,18-415,Glass Bottle,Perfume Spray Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-matte-silver-spray-pump-and-cap
GBCrclFrst50SpryShnBlk,GB-CIR-FRS-50ML-SPR-SBLK,Circle,50.0,Frosted,18-415,Glass Bottle,Perfume Spray Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-shiny-black-spray-pump-and-cap
GBCrclFrst50SpryShnGl,GB-CIR-FRS-50ML-SPR-SGLD,Circle,50.0,Frosted,18-415,Glass Bottle,Perfume Spray Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-shiny-gold-spray-pump-and-cap
GBCrclFrst50SpryShnSl,GB-CIR-FRS-50ML-SPR-SSLV,Circle,50.0,Frosted,18-415,Glass Bottle,Perfume Spray Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-shiny-silver-spray-and-cap
LBCrcl50LtnClOvrCap,LB-CIR-CLR-50ML-LPM-COCP,Circle,50.0,Clear,18-415,Glass Bottle,Lotion Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap
LBCrcl50LtnCu,LB-CIR-CLR-50ML-LPM-CPR,Circle,50.0,Clear,18-415,Glass Bottle,Lotion Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-matte-copper-lotion-pump-and-cap
LBCrcl50LtnMtGl,LB-CIR-CLR-50ML-LPM-MGLD,Circle,50.0,Clear,18-415,Glass Bottle,Lotion Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-matte-gold-lotion-pump-and-cap
LBCrcl50LtnMtSl,LB-CIR-CLR-50ML-LPM-MSLV,Circle,50.0,Clear,18-415,Glass Bottle,Lotion Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-matte-silver-lotion-pump-and-cap
LBCrcl50LtnShnBlk,LB-CIR-CLR-50ML-LPM-SBLK,Circle,50.0,Clear,18-415,Glass Bottle,Lotion Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-shiny-black-lotion-pump-and-cap
LBCrcl50LtnShnGl,LB-CIR-CLR-50ML-LPM-SGLD,Circle,50.0,Clear,18-415,Glass Bottle,Lotion Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-shiny-gold-lotion-pump-and-cap
LBCrcl50LtnShnSl,LB-CIR-CLR-50ML-LPM-SSLV,Circle,50.0,Clear,18-415,Glass Bottle,Lotion Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-shiny-silver-lotion-pump-and-cap
LBCrclFrst50LtnClOvrCap,LB-CIR-FRS-50ML-LPM-CLR,Circle,50.0,Frosted,18-415,Glass Bottle,Lotion Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap
LBCrclFrst50LtnCu,LB-CIR-FRS-50ML-LPM-CPR,Circle,50.0,Frosted,18-415,Glass Bottle,Lotion Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-matte-copper-lotion-pump-and-cap
LBCrclFrst50LtnMtGl,LB-CIR-FRS-50ML-LPM-MGLD,Circle,50.0,Frosted,18-415,Glass Bottle,Lotion Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-matte-gold-lotion-pump-and-cap
LBCrclFrst50LtnMtSl,LB-CIR-FRS-50ML-LPM-MSLV,Circle,50.0,Frosted,18-415,Glass Bottle,Lotion Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-matte-silver-lotion-pump-and-cap
LBCrclFrst50LtnShnBlk,LB-CIR-FRS-50ML-LPM-SBLK,Circle,50.0,Frosted,18-415,Glass Bottle,Lotion Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-shiny-black-lotion-pump-and-cap
LBCrclFrst50LtnShnGl,LB-CIR-FRS-50ML-LPM-SGLD,Circle,50.0,Frosted,18-415,Glass Bottle,Lotion Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-shiny-gold-lotion-pump-and-cap
LBCrclFrst50LtnShnSl,LB-CIR-FRS-50ML-LPM-SSLV,Circle,50.0,Frosted,18-415,Glass Bottle,Lotion Pump,2-part,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-shiny-silver-lotion-pump-and-cap
GBCrcl100AnSpBlk,GB-CIR-CLR-100ML-ASP-BLK,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrcl100AnSpGl,GB-CIR-CLR-100ML-ASP-GLD,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-gold-vintage-style-sprayer-shiny-gold-collar-cap
GBCrcl100AnSpIvyGl,GB-CIR-CLR-100ML-ASP-IVGD,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-gold-collar-cap
GBCrcl100AnSpIvySl,GB-CIR-CLR-100ML-ASP-IVSL,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrcl100AnSpLvn,GB-CIR-CLR-100ML-ASP-LVN,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-lavender-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrcl100AnSpMtSl,GB-CIR-CLR-100ML-ASP-MSLV,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-matte-silver-vintage-style-sprayer-matte-silver-collar-cap
GBCrcl100AnSpPnk,GB-CIR-CLR-100ML-ASP-PNK,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-pink-vintage-style-bulb-sprayer-shiny-gold-collar-cap
GBCrcl100AnSpRed,GB-CIR-CLR-100ML-ASP-RED,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-red-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrcl100AnSpTslBlk,GB-CIR-CLR-100ML-AST-BLK,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer with Tassel,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar
GBCrcl100AnSpTslGl,GB-CIR-CLR-100ML-AST-GLD,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer with Tassel,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-gold-vintage-style-sprayer-with-tassel-shiny-gold-collar
GBCrcl100AnSpTslIvyGl,GB-CIR-CLR-100ML-AST-IVGD,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer with Tassel,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-ivory-vintage-style-sprayer-with-tassel-shiny-gold-collar
GBCrcl100AnSpTslIvySl,GB-CIR-CLR-100ML-AST-IVSL,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer with Tassel,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-ivory-vintage-style-sprayer-with-tassel-shiny-silver-collar
GBCrcl100AnSpTslLvn,GB-CIR-CLR-100ML-AST-LVN,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer with Tassel,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-lavender-vintage-style-sprayer-with-tassel-shiny-silver-collar
GBCrcl100AnSpTslMtSl,GB-CIR-CLR-100ML-AST-MSLV,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer with Tassel,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-matte-silver-vintage-style-sprayer-with-tassel-matte-silver-collar
GBCrcl100AnSpTslPnk,GB-CIR-CLR-100ML-AST-PNK,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer with Tassel,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-pink-vintage-style-sprayer-with-tassel-shiny-gold-collar
GBCrcl100AnSpTslRed,GB-CIR-CLR-100ML-AST-RED,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer with Tassel,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-red-vintage-style-sprayer-with-tassel-shiny-silver-collar
GBCrcl100AnSpTslWht,GB-CIR-CLR-100ML-AST-WHT,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer with Tassel,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-white-vintage-style-sprayer-with-tassel-shiny-silver-collar
GBCrcl100AnSpWht,GB-CIR-CLR-100ML-ASP-WHT,Circle,100.0,Clear,18-415,Glass Bottle,Vintage Bulb Sprayer,2-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-white-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrcl100RdcrBlkLthr,GB-CIR-CLR-100ML-RDC-BKLT,Circle,100.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-black-faux-leather-cap
GBCrcl100RdcrBrwnLthr,GB-CIR-CLR-100ML-RDC-01,Circle,100.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-brown-faux-leather-cap
GBCrcl100RdcrIvyLthr,GB-CIR-CLR-100ML-RDC-IVR,Circle,100.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-ivory-faux-leather-cap
GBCrcl100RdcrLBrwnLthr,GB-CIR-CLR-100ML-RDC-02,Circle,100.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-light-brown-faux-leather-cap
GBCrcl100RdcrMtSl,GB-CIR-CLR-100ML-RDC-MSLV,Circle,100.0,Clear,18-415,Glass Bottle,Reducer,3-part,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-silver-matte-cap
